Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
10/28/2009,BAJAJFINSV,EQ,300.6,293.55,313,293.55,310.4,310.65,304.72,59397,1.80993E+12,,34281,0.5772
10/29/2009,BAJAJFINSV,EQ,310.65,305,331.85,296.25,319,316.9,319.9,72940,2.33335E+12,,30417,0.417
10/30/2009,BAJAJFINSV,EQ,316.9,324.95,328,305.5,308,311.5,320.24,47928,1.53487E+12,,27438,0.5725
11/3/2009,BAJAJFINSV,EQ,311.5,301,319.4,292.2,293.15,294.55,303.72,24861,7.55075E+11,,11613,0.4671
11/4/2009,BAJAJFINSV,EQ,294.55,304,308.75,296.1,302.1,302.7,302.6,21457,6.49278E+11,,8333,0.3884
11/5/2009,BAJAJFINSV,EQ,302.7,302.7,309.4,296.15,300.85,302,302.35,20106,6.07907E+11,,10430,0.5188
11/6/2009,BAJAJFINSV,EQ,302,307,308.8,296,297.95,298.65,302.6,24315,7.35783E+11,,14934,0.6142
11/9/2009,BAJAJFINSV,EQ,298.65,304.8,305.9,295.1,300,301.35,300.49,111398,3.34737E+12,,77572,0.6964
11/10/2009,BAJAJFINSV,EQ,301.35,302,326,298.3,314.25,316.4,314.5,314338,9.88601E+12,,109722,0.3491
11/11/2009,BAJAJFINSV,EQ,316.4,317.9,317.9,301.15,312.05,312,310.35,166179,5.15731E+12,,83242,0.5009
11/12/2009,BAJAJFINSV,EQ,312,312.15,318.9,307.15,312.4,311.05,313.27,79662,2.49558E+12,,38764,0.4866
11/13/2009,BAJAJFINSV,EQ,311.05,312.75,314,306.35,313,313.05,312.61,39124,1.22307E+12,,25516,0.6522
11/16/2009,BAJAJFINSV,EQ,313.05,312.5,325,311,320.6,320.35,319.54,118334,3.78121E+12,,71645,0.6054
11/17/2009,BAJAJFINSV,EQ,320.35,322.05,349,320.15,347,346.5,341.18,349801,1.19344E+13,,121446,0.3472
11/18/2009,BAJAJFINSV,EQ,346.5,345,349.7,330.05,335,334.6,342.97,170055,5.83237E+12,,81436,0.4789
11/19/2009,BAJAJFINSV,EQ,334.6,330,344,325,326,327.8,335.57,78382,2.63027E+12,,36882,0.4705
11/20/2009,BAJAJFINSV,EQ,327.8,325.1,336,325.1,327.6,326.95,328.46,51268,1.68395E+12,,21493,0.4192
11/23/2009,BAJAJFINSV,EQ,326.95,328,339.95,325,329.8,330.2,333.16,47699,1.58913E+12,,24657,0.5169
11/24/2009,BAJAJFINSV,EQ,330.2,330,335,326.1,328,329.3,330.5,23071,7.62495E+11,,11661,0.5054
11/25/2009,BAJAJFINSV,EQ,329.3,326,334,326,327.95,327.25,330.27,25809,8.52398E+11,,11506,0.4458
11/26/2009,BAJAJFINSV,EQ,327.25,330,332.95,316.2,320,319.25,324.77,18200,5.91084E+11,,9385,0.5157
11/27/2009,BAJAJFINSV,EQ,319.25,315.1,325.5,304,313.8,312.65,311.21,25605,7.96865E+11,,12567,0.4908
11/30/2009,BAJAJFINSV,EQ,312.65,320.55,322.25,309,311,311.1,315.16,28344,8.93302E+11,,15232,0.5374
12/1/2009,BAJAJFINSV,EQ,311.1,313,325,312.15,320.1,321.45,318.93,143413,4.5738E+12,,121757,0.849
12/2/2009,BAJAJFINSV,EQ,321.45,320,337,317.15,330,331.15,330.96,192456,6.3695E+12,,147061,0.7641
12/3/2009,BAJAJFINSV,EQ,331.15,336.9,341.8,325.65,334.9,331.8,333.12,311273,1.03693E+13,,245509,0.7887
12/4/2009,BAJAJFINSV,EQ,331.8,331.8,338,328.35,330.75,332.5,333.06,50896,1.69516E+12,,36295,0.7131
12/7/2009,BAJAJFINSV,EQ,332.5,332,341.6,329,335.5,335.4,334.8,137879,4.61624E+12,,112730,0.8176
12/8/2009,BAJAJFINSV,EQ,335.4,336.8,344.9,334.5,337,337.55,340.43,172924,5.88691E+12,,89887,0.5198
12/9/2009,BAJAJFINSV,EQ,337.55,336,339,325,326.7,328.8,331.81,46444,1.54106E+12,,28274,0.6088
12/10/2009,BAJAJFINSV,EQ,328.8,328.7,333.85,325,325,326.7,331.71,66062,2.19135E+12,,53718,0.8131
12/11/2009,BAJAJFINSV,EQ,326.7,331,332.4,326.5,329,328.7,330.87,360627,1.19319E+13,,348650,0.9668
12/14/2009,BAJAJFINSV,EQ,328.7,328.5,332,325,326.5,326.65,327.09,26126,8.54547E+11,,17556,0.672
12/15/2009,BAJAJFINSV,EQ,326.65,328.7,328.7,322.15,327,325.25,325.19,27330,8.88743E+11,,19965,0.7305
12/16/2009,BAJAJFINSV,EQ,325.25,322.3,329.65,322.3,325,325.1,325.66,19376,6.31004E+11,,11112,0.5735
12/17/2009,BAJAJFINSV,EQ,325.1,316.1,348.5,316.1,340,340.9,333.27,290473,9.68065E+12,,190325,0.6552
12/18/2009,BAJAJFINSV,EQ,340.9,342,346,325.5,326,326.55,334.65,92091,3.08186E+12,,37247,0.4045
12/21/2009,BAJAJFINSV,EQ,326.55,334.95,334.95,325,325,325.15,325.85,40204,1.31006E+12,,23701,0.5895
12/22/2009,BAJAJFINSV,EQ,325.15,325,329.65,324.8,325.2,325.2,325.29,110909,3.60775E+12,,99084,0.8934
12/23/2009,BAJAJFINSV,EQ,325.2,325.55,330.95,324.5,325.9,325.05,325.8,127902,4.167E+12,,101967,0.7972
12/24/2009,BAJAJFINSV,EQ,325.05,326.55,334,325,327.25,328.65,328.72,336347,1.10563E+13,,296807,0.8824
12/29/2009,BAJAJFINSV,EQ,328.65,330.1,333.3,325.7,329.55,330.1,330.74,29151,9.64131E+11,,20878,0.7162
